title text  url
Leteaksjon i Bodø - Funn av bil i havnebassenget i Bodø havn	I forbindelse med leiteaksjonen etter savnede Kurt Eilertsen fra Bodø, er det i dag gjort funn av den etterlyste bilen, en KIA Picanto. Det er også gjort funn av en person inne i bilen, men vedkomne er ikke identifisert. Politiet har ingen grunn til at det foreligger noen straffbart. Leiteaksjonen avsluttes og videre etterforskning blir tatt av Bodø politistasjon. Pårørende er informert.   Til redaksjonene Kontaktperson i denne saken er Bent Are Eilertsen, stabssjef i Nordland. Eilertsen er tilgjengelig for media på tlf nr 916 76523. Publisert 22. januar 2018 Etter å ha mottatt en bekymringsmelding fra mannens familie, iverksatte politiet undersøkelser og søk etter en mann i Bodø-området. Søket pågår fortsatt. Tross omfattende undersøkelser har søket vært resultatløst så langt. I samråd med mannens nærmeste pårørende velger vi derfor å gå ut med navn og bilde* av den saknede. *Oppdatering 23.01.18 kl 12.45: Bildet er fjernet. Den saknede er Kurt Eilertsen, 59 år og hjemmehørende i Bodø. Kjøretøy: KIA Picanto, sølvgrå, med registreringsnummer YE93254. Han er ca 185 cm høy, slank kroppsbygning og grått hår. Politiet i Bodø ønsker å komme i kontakt med vitner som kan ha opplysninger om savnede og/eller hans kjøretøy. Alle henvendelser kan rettes til politiet i Nordland på telefon 02800 eller 75589000.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/22/politiet-onsker-tips-om-observasjoner-av-savnet-mann/
Oppdatering i Janne Jemtland-saken	Innlandet politidistrikt ga i dag en oppdatering av status i saken om Janne Jemtland. Det er foretatt videre undersøkelser og avhør av siktede og vitner. Det er ingen nye mistenkte eller siktede i saken. Identiteten til Janne Jemtland ble bekreftet 16.januar. Politiet kan foreløpig ikke si noe om dødsårsaken, men vil kunne si noe mer om dette lenger ut i etterforskningen. Ektefellen til Janne Jemtland er siktet for drap og han erkjenner ikke straffeskyld for dette. Ektefellen ble varetektsfengslet mandag 15.januar. Politiet vil i tiden fremover fortsette med etterforskning, undersøkelser og avhør i saken. Kripos bistår med dette fortsatt. Fly- og droneforbud opphevet Politiets kriminaltekniske arbeid på eiendommen til Janne Jemtland og ektefellen er nå langt på vei ferdigstilt. Det er denne eiendommen vi anser som åstedet hvor Janne Jemtland ble drept, sa politiadvokat André van der Eynden i Innlandet politidistrikt i en orientering til pressen i dag. Sperringene er nå opphevet og det er kun eiendommen som sådan som er avsperret med politiets sperrebånd. Fly- og droneforbudet satt med utgangspunkt i boligen i Ellevsætervegen 641er opphevet. Siktede knytter seg til saken Siktede i saken er avhørt en rekke ganger og har vært villig til å la seg avhøre. Politiet bekreftet at han knytter seg til den situasjonen hvor Janne Jemtland døde. Han har også vært opphav og bakgrunn for opplysningene som lot politiet lokalisere Janne Jemtland i Glomma ved Eid bru i Våler kommune. Tips ønskes Politiet ønsker tips fra publikum på observasjoner ved Eid bru i tidsrommet 29. til 30.desember. Tips kan gis på telefon 02800.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/19/oppdatering-i-janne-jemtland-saken/
Sykkelauksjon torsdag 1. februar 2018	Auksjonshuset AS avholder sykkelauksjon på vegne av Oslo politidistrikt torsdag 1. februar 2018 fra kl. 18:00. Det er visning fra kl. 17:00. Det er ca. 100 sykler som skal selges. Sted: Auksjonshuset AS Dato: Torsdag 1. februar 2018 Tid: Kl. 18:00 - visning fra kl. 17:00 Adresse: Bråteveien 190 B, 2013 Skjetten For mer informasjon, se: Auksjonshuset AS Du kan også følge arrangementet via Facebooksiden vår. Velkommen!	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/18/sykkelauksjon-1.-februar-2018/
Vinterføre kan by på utfordringer	Vinteren har lagt seg over størsteparten av landet. Noen steder stiller det ekstra krav til sjåførene. Her er politiets tips for en trygg ferd i snøværet. UP-sjef Runar Karlsen peker på to hovedårsaker til alvorlig trafikkulykker når føret er vanskelig. - Feil fart og førerfeil dominerer. På vinterføre er det ekstra viktig at sjåføren avpasser farten etter forholdene, og holder god avstand til bilen foran. Hold køen og ta det med ro, formaner UP-sjefen. I tillegg til dette må man selvsagt være skodd for vinterføre med korrekte dekk med riktige mønsterdybde og riktig mengde luft i dekkene. - I mørketiden og i snøvær er det også ekstra viktig å ha lysene i orden, både sikre at de virker og at de er korrekt innstilt. Husk å fjerne is og snø fra rutene, og fjern snø fra bilens tak, slik at ikke andre bilister blir forstyrret av snø som faller av. Ved en bråbrems risikerer du også at snø fra taket sklir ned over frontruta og ødelegger sikten. Husk at det alltid er deg som sjåfør som er ansvarlig for at det ikke oppstår skade eller ulykker i trafikken, avslutter UP-sjef Runar Karlsen.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/18/up-vinter/
Formelt samarbeid mellom politiet og sikkerhetsbransjen	Politi og vektere skal samarbeide tettere om å forebygge kriminalitet og opprettholde ro og orden. Det er klart etter at Politidirektoratet og Næringslivets Hovedorganisasjon (NHO) i dag undertegnet en samarbeidsavtale mellom politiet og sikkerhetsbransjen. Avtalen ble undertegnet av NHO-direktør Kristin Skogen Lund og politidirektør Odd Reidar Humlegård. Formålet med avtalen er primært å sikre at politi og vektere samhandler for å forebygge og forhindre kriminalitet, samt opprettholde sikkerhet, ro og orden. Samarbeid med andre aktører, både offentlige og private, er en viktig del av politiets virksomhet. - Politiet har lang erfaring med å samarbeide med sikkerhetsbransjen i Norge. Med den nye avtalen vil samarbeidet bli formalisert, og ansvar, roller og oppgaver vil forhåpentligvis bli tydeligere både i det daglige og i forbindelse med større hendelser, sier politidirektør Odd Reidar Humlegård. Lokale avtaler Avtalen som er signert er en intensjonsavtale. Den legger opp til at politidistriktene skal inngå lokale avtaler med sikkerhetsbransjen. Avtalen innebærer ikke nye fullmakter til bransjen. Vekterne skal ikke gjøre politiarbeid. - Det skal fortsatt politiet, men vekterne skal bidra til at vi politiet kan gjøre vår jobb bedre, sier Humlegård. I dag er det omtrent like mange ansatte i sikkerhetsbransjen som politiansatte. Vektere og vakter er der folk ferdes, og sitter derfor på god kunnskap. I praksis skal politiet og sikkerhetsbransjen involvere hverandre i aktuelle planer, i, øvelser, evaluering og læring. Avtalen skal sikre kjennskap til aktørenes virksomhet, ressurser, kompetanse og organisering. God ressursutnyttelse - Det er både riktig og viktig at dette samarbeidet videreutvikles, formaliseres og innføres i alle landets politidistrikter, sier politidirektøren. Selv om avtalen er undertegnet med NHO ekskluderer det ikke sikkerhetsfirmaer som står utenfor organisasjonen. NHO-direktør Kristin Skogen Lund sier at avtalen bunner i et felles ønske om å forebygge kriminalitet, og opprettholde ro og orden. - Offentlig privat samarbeid gir god ressursutnyttelse. Sikkerhetsbransjen skal ikke gå politiet i næringen, men samarbeide på en god måte. Jeg er sikker på at politiet møter en topp motivert bransje, sier hun.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/formelt-samarbeid-mellom-politiet-og-sikkerhetsbransjen/
Politiet fikk medhold i begjæring om varetektsfengsling	Hedmarken tingrett ga politiet medhold i begjæringen om fire ukers varetekt hvor to av ukene er i full isolasjon og to med brev- og besøksforbud. Janne Jemtlands ektefelle er siktet for drap.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/15/politiet-fikk-medhold-i-begjaring/
Etterforskning av sedelighetssak fortsetter	Mandag 15. januar: Hålogaland lagmannsrett har i dag behandlet og forkastet anken over varetektsfengsling for den siktede i sedelighetssaken som er under etterforskning i Troms politidistrikt. Når det gjelder de ikke identifiserte fornærmede som politiet tidligere har omtalt, finner lagmannsretten i likhet med tingretten at det på nåværende tidspunkt ikke er skjellig grunn til mistanke om straffbare forhold ovenfor disse. Lagmannsretten finner at det foreligger slik bevisforspillelsesfare knyttet til den opprinnelige delen av siktelsen, at fengsling er nødvendig. Eventuelle henvendelser om å utlevere kjennelsen må rettes til Hålogaland lagmannsrett. Politiet har gjennom dagen fått inn ytterligere noen tips i saken. Kripos kommer til Tromsø og starter sin bistand tirsdag. Politiet har utover dette ikke noe nytt å melde om etterforskningen i saken. Torsdag 11. januar: Forlenget fengsling i sedelighetssak. Politiet i Tromsø har i dag fått medhold i varetektsfengsling i fire nye uker for den siktede mannen i den pågående sedelighetssaken. Bakgrunn for forlenget varetekt er bevisforspillelsesfare og behov for mer tid til å gjennomgå beslaglagt materiale og gjennomføre avhør. Siktelsen mot mannen omfatter en navngitt mann som fornærmet, og er utvidet til å omfatte flere mulige fornærmede. Pr. nå har ikke etterforskningen avdekket hvor mange, eller identitet, på de mulige fornærmede. Siktelsen i nåværende sak omfatter tidsrom over flere år. Den navngitte fornærmede er en mann, forholdene som etterforskes har skjedd etter fylte 16 år. Siktelsen er konkretisert i forhold til straffebud: Straffeloven (1902) § 193 første ledd for å ha skaffet seg eller en annen seksuell omgang ved misbruk av stilling, avhengighetsforhold eller tillitsforhold og straffeloven (2005) § 295 for å ha skaffet seg seksuell omgang ved a) misbruk av stilling, avhengighetsforhold eller tillitsforhold, eller c) å utnytte en person under 18 år i en særlig sårbar livssituasjon Politiet gjør også undersøkelser for å se om det er grunnlag for å gjenåpne tidligere straffesak fra 2015/16 med lignende forhold og samme siktet mann. Torsdag 11. januar: Politiet i Tromsø har begjært forlenget fengsling i sedelighetssak, i fire uker, på grunn av bevisforspillelsesfare. Onsdag 10. januar: Etterforskningen fortsetter i dag med gjennomgang av beslag i saken. Fengslingsfristen går ut i morgen, torsdag, kl. 16.00, og politiet har ikke tatt stilling om det skal begjæres videre varetektsfengsling. Tirsdag 9. januar: - Politiet jobber med gjennomgang av beslag, analyse og avhør. Det er ikke tatt stilling til ev. videre varetektsfengsling, sier politistasjonssjef Anita Hermandsen ved Tromsø politistasjon. Mandag 8. januar: Etterforskning av saken fortsetter, men politiet har ikke nye opplysninger i dag: - Vi etterforsker saken videre, men av hensyn til etterforskningen kan vi ikke si noe mer om saken, sier politistasjonssjef Anita Hermandsen ved Tromsø politistasjon. Sist fredag bekreftet stasjonssjefen at politiet har innledet etterforskning etter følgende straffebud: Gammel straffelov, paragraf 224, første ledd, bokstav A: Den som ved vold, trusler, misbruk av sårbar situasjon eller annen utilbørlig atferd utnytter en person til prostitusjon eller andre seksuelle formål, eller som forleder en person til å la seg bruke til slike formål, straffes for menneskehandel med fengsel inntil 5 år. Ny straffelov, som trådte i kraft 1. oktober 2015, paragraf 295, bokstav A: Med fengsel inntil 6 år straffes den som skaffer seg eller en annen seksuell omgang, eller får noen til å utføre handlinger som svarer til seksuell omgang med seg selv ved misbruk av stilling, avhengighetsforhold eller tillitsforhold. En mann er siktet i saken. Han ble varetektsfengslet i kjennelse fra Nord-Troms tingrett sist torsdag, i en uke med brev- og besøkskontroll.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/08/etterforskning-av-sedelighetssak/
Funn av person i Glomma	Det er i dag søkt etter Janne Jemtland i Glomma i Våler kommune. Politiet i Innlandet bekrefter at det nå er gjort funn av en person i Glomma. Politiet er ikke kjent med at det er andre savnede personer i området. Pårørende til Janne Jemtland er varslet om funnet. Pågripelse Ektefellen til savnede Janne Jemtland er pågrepet og siktet for drap. Mannen ble pågrepet i Brumunddal fredag kveld 12. januar. Siste døgns hendelse har gitt opplysninger i saken som førte til at politiet i dag har gjennomført etter savnede i Braskereidfoss, Våler kommune. Det har tidligere blitt gjort omfattende søk etter Jemtland i Brumunddal. Fengslingsmøte Siktede ble i går kveld avhørt i saken. Avhørene fortsetter i løpet av dagen. Han erkjenner ikke straffeskyld i forhold til siktelse. Bakgrunnen for pågripelsen er spor funnet på Janne Jemtlands og siktedes eiendom. Det planlegges fengslingsmøte i saken mandag 15. januar.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/13/funn-av-dod-person-i-glomma/
Pågripelse i savnetsaken i Brumunddal	Ektefellen til savnede Janne Jemtland er pågrepet. Mannen ble pågrepet i Brumunddal fredag kveld. Janne Jemtland er ikke funnet. Bakgrunnen for pågripelsen er spor funnet på Janne Jemtlands og siktedes eiendom. Mannen er siktet for drap. Advokat Ida Andenæs er oppnevnt som forsvarer for siktede. Inger Johanne Reiestad Hansen er oppnevnt som bistandsadvokat for barna til siktede og Janne Jemtland. Det planlegges fengslingsmøte i saken på mandag 15.01.18. Fortsatt undersøkelser Vi ønsker ikke at publikum og presse beveger seg i søkeområdet nord for Ellevsætervegen og Veldresagvegen da dette kan være direkte ødeleggende for sporsikring og etterforskingen. Som følge av dette er aktuelt område i søkeperioden sperret. Fly- og droneforbud Det er fly- og droneforbud i en radius på 5000 meter fra Ellevsætervegen 641 og i en flyhøyde på 2000 fot. Forbudet gjelder fram til mandag 15.01.18 klokken 12.00. Vi ber om at mediene og andre respekterer dette. Fakta Janne Jemtland ble meldt savnet 31.12.17. Det ble satt i gang leteaksjon etter Jemtland samme dag. Torsdag 4. og lørdag 6. januar ble det funnet blod som tilhørte Janne Jemtland i Fagerlundvegen og Lillehaugvegen i Brumunddal.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/12/pagripelse-i-savnetsaken-i-brumunddal/
Antall kontrollerte øker - overtrdelser går ned	Politiets ATK-senter behandlet omlag 116 000 ATK-saker i 2017. Det utgjør ca. 75 % av totalt antall ATK-saker i politiet, og er det høyeste måltallet senteret har oppnådd etter etableringen av senteret i 2005. Antall kontrollerte kjøretøy øker årlig mens antall fartsovertredelser registrert i fotoboks går ned. Overtredelsesprosenten er lav, 0,08% i gjennomsnitt. Noe som indikerer at ATK fungere som tiltak for å redusere farten på vegene. Politiets ATK-senter har anmeldt ca. 2500 saker for høye hastigheter eller prikkregistreringer over 8 prikker, som medførte 650 tilbakekallelse av føreretten. Politiets ATK-senter er fra 2017 en avdeling i Utrykningspolitiet.	https://www.politiet.no/aktuelt-tall-og-fakta/aktuelt/nyheter/2018/01/12/up-atk/
